Guinée-Bissau	Bissau	Afrique
Guinée équatoriale	Malabo	Afrique
Guyana	Georgetown	Amérique
Haïti	Port-au-Prince	Amérique
Honduras	Tegucigalpa	Amérique
Hongrie	Budapest	Europe
Île Maurice	Port Louis	Afrique
Îles Marshall	Majuro	Océanie
Îles Salomon	Honiara	Océanie
Inde	New Delhi	Asie
Indonésie	Jakarta	Asie
Irak	Bagdad	Asie
Iran	Téhéran	Asie
Irlande	Dublin	Europe
Islande	Reykjavik	Europe
Israël	Jérusalem	Asie
Italie	Rome	Europe
Jamaïque	Kingston	Amérique
Japon	Tokyo	Asie
Jordanie	Amman	Asie
Kazakhstan	Noursoultan (Astana)	Asie/Europe
Kenya	Nairobi	Afrique
Kirghizistan	Bichkek	Asie
Kiribati	Tarawa	Océanie
Koweït	Koweït City	Asie
Laos	Vientiane	Asie
Lesotho	Maseru	Afrique
Lettonie	Riga	Europe
Liban	Beyrouth	Asie
Libéria	Monrovia	Afrique
Libye	Tripoli	Afrique
Liechtenstein	Vaduz	Europe
Lituanie	Vilnius	Europe
Luxembourg	Luxembourg	Europe
Macao	Macao	Asie
Macédoine du Nord	Skopje	Europe
Madagascar	Antananarivo	Afrique
Malaisie	Kuala Lumpur	Asie
Malawi	Lilongwe	Afrique
Maldives	Malé	Asie
Mali	Bamako	Afrique
Malte	La Valette	Europe
Maroc	Rabat	Afrique
Îles Marshall	Majuro	Océanie
Maurice	Port Louis	Afrique
Mauritanie	Nouakchott	Afrique
Mexique	Mexico	Amérique
Micronésie	Palikir	Océanie
Moldavie	Chisinau	Europe
Monaco	Monaco	Europe
Mongolie	Oulan-Bator	Asie
Monténégro	Podgorica	Europe
Mozambique	Maputo	Afrique
Namibie	Windhoek	Afrique
Nauru	Yaren	Océanie
Népal	Katmandou	Asie
Nicaragua	Managua	Amérique
Niger	Niamey	Afrique
Nigeria	Abuja	Afrique
Niue	Alofi	Océanie
Norvège	Oslo	Europe
Nouvelle-Zélande	Wellington	Océanie
Oman	Mascate	Asie
Ouganda	Kampala	Afrique
Ouzbékistan	Tachkent	Asie
Pakistan	Islamabad	Asie
Palaos	Melekeok	Océanie
Palestine	Jérusalem-Est (revendiquée) / Ramallah (capitale de facto)	Asie
Panama	Panama	Amérique
Papouasie-Nouvelle-Guinée	Port Moresby	Océanie
Paraguay	Asunción	Amérique
Pays-Bas	Amsterdam	Europe
Pérou	Lima	Amérique
Philippines	Manille	Asie
Pologne	Varsovie	Europe
Portugal	Lisbonne	Europe
Qatar	Doha	Asie
République du Congo	Brazzaville	Afrique
République démocratique du Congo	Kinshasa	Afrique
République dominicaine	Saint-Domingue	Amérique
République tchèque	Prague	Europe
Roumanie	Bucarest	Europe
Royaume-Uni	Londres	Europe
Russie	Moscou	Asie/Europe
Rwanda	Kigali	Afrique
Saint-Christophe-et-Niévès	Basseterre	Amérique
Saint-Marin	Saint-Marin	Europe
Saint-Vincent-et-les Grenadines	Kingstown	Amérique
Sainte-Lucie	Castries	Amérique
Salomon	Honiara	Océanie
Salvador	San Salvador	Amérique
Samoa	Apia	Océanie
Sao Tomé-et-Principe	São Tomé	Afrique
Tadjikistan	Douchanbé	Asie
Tanzanie	Dodoma/Athènes	Afrique
Tchad	N'Djaména	Afrique
République tchèque	Prague	Europe
Thaïlande	Bangkok	Asie
Timor-Leste	Dili	Asie
Togo	Lomé	Afrique
Tonga	Nuku'alofa	Océanie
Trinité-et-Tobago	Port-d'Espagne	Amérique
Tunisie	Tunis	Afrique
Turkménistan	Achgabat	Asie
Turquie	Ankara	Asie/Europe
Tuvalu	Funafuti	Océanie
Ukraine	Kiev	Europe
Uruguay	Montevideo	Amérique
Vanuatu	Port-Vila	Océanie
Vatican (Saint-Siège)	Cité du Vatican	Europe
Venezuela	Caracas	Amérique
Viêt Nam	Hanoï	Asie
Yémen	Sanaa	Asie
Zambie	Lusaka	Afrique
Zimbabwe	Harare	Afrique
